Configuration	f7-qfp144
STM32CubeMX 	4.25.1
Date	08/26/2018
MCU	STM32F746ZGTx



PERIPHERALS	MODES	FUNCTIONS	PINS
26	PC0	FMC_SDNWE	
28	PC2	FMC_SDNE0	
29	PC3	FMC_SDCKE0	
34	PA0/WKUP	TIM2_CH1	
49	PF11	FMC_SDNRAS	
50	PF12	FMC_A6	
53	PF13	FMC_A7	
54	PF14	FMC_A8	
55	PF15	FMC_A9	
56	PG0	FMC_A10	
57	PG1	FMC_A11	
58	PE7	FMC_D4	
59	PE8	FMC_D5	
60	PE9	FMC_D6	
63	PE10	FMC_D7	
64	PE11	FMC_D8	
65	PE12	FMC_D9	
66	PE13	FMC_D10	
67	PE14	FMC_D11	
68	PE15	FMC_D12	
69	PB10	USART3_TX	
70	PB11	USART3_RX	
77	PD8	FMC_D13	
78	PD9	FMC_D14	
79	PD10	FMC_D15	
85	PD14	FMC_D0	
86	PD15	FMC_D1	
87	PG2	FMC_A12	
89	PG4	FMC_BA0	
90	PG5	FMC_BA1	
93	PG8	FMC_SDCLK	
98	PC8	SDMMC1_D0	
99	PC9	SDMMC1_D1	
102	PA10	USB_OTG_FS_ID	
103	PA11	USB_OTG_FS_DM	
104	PA12	USB_OTG_FS_DP	
105	PA13	SYS_JTMS-SWDIO	
109	PA14	SYS_JTCK-SWCLK	
111	PC10	SDMMC1_D2	
112	PC11	SDMMC1_D3	
113	PC12	SDMMC1_CK	
114	PD0	FMC_D2	
115	PD1	FMC_D3	
116	PD2	SDMMC1_CMD	
118	PD4	FMC_NOE	
119	PD5	FMC_NWE	
123	PD7	FMC_NE1	
129	PG14	FMC_A25	
132	PG15	FMC_SDNCAS	
141	PE0	FMC_NBL0	
142	PE1	FMC_NBL1	
