Configuration	f7_8bitram
STM32CubeMX 	4.25.1
Date	07/04/2018
MCU	STM32F746BGTx



PERIPHERALS	MODES	FUNCTIONS	PINS
110	PD10	FMC_D15	
116	PD14	FMC_D0	
117	PD15	FMC_D1	
129	PG2	FMC_A12	
130	PG3	GPIO_Output	TFT_RS
131	PG4	FMC_BA0	
132	PG5	FMC_BA1	
134	PG7	GPIO_Output	SDRAM_DQM
135	PG8	FMC_SDCLK	
140	PC8	SDMMC1_D0	
142	PA8	RCC_MCO_1	
143	PA9	USART1_TX	
144	PA10	USART1_RX	
145	PA11	USB_OTG_FS_DM	
146	PA12	USB_OTG_FS_DP	
147	PA13	SYS_JTMS-SWDIO	
159	PA14	SYS_JTCK-SWCLK	
163	PC12	SDMMC1_CK	
164	PD0	FMC_D2	
165	PD1	FMC_D3	
166	PD2	SDMMC1_CMD	
168	PD4	FMC_NOE	
169	PD5	FMC_NWE	
173	PD7	FMC_NE1	
179	PG10	GPIO_Input	KbdR0
180	PG11	GPIO_Input	KbdR1
181	PG12	GPIO_Input	KbdR2
182	PG13	GPIO_Input	KbdR3
183	PG14	GPIO_Input	KbdR4
186	PK3	GPIO_Output	KbdT0
187	PK4	GPIO_Output	KbdT1
188	PK5	GPIO_Output	KbdT2
189	PK6	GPIO_Output	KbdT3
191	PG15	FMC_SDNCAS	



SOFTWARE PROJECT

Project Settings : 
Project Name : f7_8bitram
Project Folder : /home/lisa/eclipse_workspaces/workspace_stm32/f7_8bitram
Toolchain / IDE : Makefile
Firmware Package Name and Version : STM32Cube FW_F7 V1.11.0


Code Generation Settings : 
STM32Cube Firmware Library Package : Copy only the necessary library files
Generate peripheral initialization as a pair of '.c/.h' files per peripheral : Yes
Backup previously generated files when re-generating : No
Delete previously generated files when not re-generated : Yes
Set all free pins as analog (to optimize the power consumption) : Yes


Toolchains Settings : 
Compiler Optimizations : Balanced Size/Speed






