"Position","Name","Type","Signal","Label"
"97","PD9","I/O","FMC_D14",""
"98","PD10","I/O","FMC_D15",""
"99","PD11","Output","GPIO_Output","LD1"
"100","PD12","Output","GPIO_Output","LD2"
"101","PD13","I/O","",""
"102","VSS","Power","",""
"103","VDD","Power","",""
"104","PD14","I/O","FMC_D0",""
"105","PD15","I/O","FMC_D1",""
"106","PG2","I/O","FMC_A12",""
"107","PG3","I/O","",""
"108","PG4","I/O","FMC_BA0",""
"109","PG5","I/O","FMC_BA1",""
"110","PG6","I/O","LTDC_R7",""
"111","PG7","I/O","LTDC_CLK",""
"112","PG8","I/O","FMC_SDCLK",""
"113","VSS","Power","",""
"114","VDDUSB","Power","",""
"115","PC6","I/O","",""
"116","PC7","I/O","FMC_NE1",""
"117","PC8","I/O","SDMMC1_D0",""
"118","PC9","I/O","SDMMC1_D1",""
"119","PA8","I/O","RCC_MCO_1",""
"120","PA9","I/O","USART1_TX",""
"121","PA10","I/O","USART1_RX",""
"122","PA11","I/O","USB_OTG_FS_DM",""
"123","PA12","I/O","USB_OTG_FS_DP",""
"124","PA13","I/O","SYS_JTMS-SWDIO",""
"125","VCAP_2","Power","",""
"126","VSS","Power","",""
"127","VDD","Power","",""
"128","PH13","I/O","LTDC_G2",""
"129","PH14","I/O","LTDC_G3",""
"130","PH15","I/O","",""
"131","PI0","I/O","",""
"132","PI1","I/O","",""
"133","PI2","I/O","LTDC_G7",""
"134","PI3","I/O","",""
"135","VSS","Power","",""
"136","VDD","Power","",""
"137","PA14","I/O","SYS_JTCK-SWCLK",""
"138","PA15","I/O","",""
"139","PC10","I/O","SDMMC1_D2",""
"140","PC11","I/O","SDMMC1_D3",""
"141","PC12","I/O","SDMMC1_CK",""
"142","PD0","I/O","FMC_D2",""
"143","PD1","I/O","FMC_D3",""
"144","PD2","I/O","SDMMC1_CMD",""
"145","PD3","I/O","",""
"146","PD4","I/O","FMC_NOE",""
"147","PD5","I/O","FMC_NWE",""
"148","VSS","Power","",""
"149","VDDSDMMC","Power","",""
"150","PD6","I/O","LTDC_B2",""
"151","PD7","I/O","",""
"152","PG9","I/O","",""
"153","PG10","I/O","",""
"154","PG11","I/O","LTDC_B3",""
"155","PG12","I/O","LTDC_B4",""
"156","PG13","I/O","",""
"157","PG14","I/O","FMC_A25",""
"158","VSS","Power","",""
"159","VDD","Power","",""
"160","PG15","I/O","FMC_SDNCAS",""
"161","PB3","I/O","TIM2_CH2",""
"162","PB4","I/O","",""
"163","PB5","I/O","",""
"164","PB6","I/O","",""
"165","PB7","I/O","",""
"166","BOOT0","Boot","",""
"167","PB8","I/O","LTDC_B6",""
"168","PB9","I/O","LTDC_B7",""
"169","PE0","I/O","FMC_NBL0",""
"170","PE1","I/O","FMC_NBL1",""
"171","PDR_ON","Reset","",""
"172","VDD","Power","",""
"173","PI4","I/O","",""
"174","PI5","I/O","",""
"175","PI6","I/O","",""
"176","PI7","I/O","",""
